場所,市区町村,設置タイプ,更新日時,状況,eNB-LCID,PCI,基地局ID,sector,sub6,ミリ波,緯度,経度
松山市永木町２丁目,松山市,屋上,2023/05/10 15:27:10,open,"737577-1,2","75,166",,2,,,33.835454,132.774928
四国中央市川之江町②,四国中央市,コン柱,2023/04/29 00:15:25,open,"737466-4,5,6","249,194,85",,3,,,34.018855,133.576226
西条市丹原町楠窪③,西条市,衛星,2024/06/16 08:37:23,open,742219-1,1,,1,,,33.826333,133.050833
伊予郡砥部町宮内③,砥部町,コン柱,2023/03/17 22:15:44,open,"737558-4,5,6","200,55,174",,3,,,33.757587,132.79431
西予市宇和町新城,西予市,コン柱,2023/04/22 10:15:23,open,"737527-1,2,3","188,186,187",,3,1,3,33.383049,132.531573
宇和島市夏目町二丁目,宇和島市,コン柱,2022/06/01 00:00:00,open,"737345-1,2,3","26,25,24",,3,,,33.205578,132.553682
西条市坂元甲,西条市,コン柱,2024/05/11 22:01:05,open,"737548-4,5,6","255,7,341",,3,,,33.89363,133.151582
宇和島市吉田町奥浦,宇和島市,コン柱,2023/06/20 18:36:48,open,"737496-6,7,8","362,361,360",,3,,,33.271461,132.479783
伊予市中山町中山①,伊予市,コン柱,2023/03/21 17:22:27,open,"737480-1,2,3","340,341,339",,3,,,33.670559,132.695694
北宇和郡鬼北町大字近永①,鬼北町,コン柱,2023/03/19 20:28:17,open,"737485-9,10,11","368,367,366",,3,,,33.256995,132.673463
今治市宮窪町宮窪②,今治市,コン柱,2023/05/22 00:30:17,open,"737527-7,8,9","125,124,123",,3,,,34.16751942,133.0637231
西条市朔日市,西条市,コン柱,2023/05/04 13:33:35,open,"737520-9,10,11","48,368,172",,3,,,33.932821,133.18969
松山市泉町,松山市,屋上,2022/06/01 00:00:00,open,"737304-4,5,6","205,204,206",,3,,,33.83259513,132.7666123
松山市本町２丁目,松山市,屋上,2023/05/04 16:55:16,open,"737476-7,8,9","57,217,347",,3,,,33.843175,132.758519
東温市則之内③,東温市,コン柱,2023/06/13 21:29:16,open,"737506-1,2","228,229",,2,,,33.791902,132.919503
四国中央市土居町天満①,四国中央市,コン柱,2024/05/25 22:39:16,open,"737509-8,9,10","122,232,13",CBSB838000203,3,3,1,33.974898,133.423352
宇和島市吉田町本町,宇和島市,コン柱,2022/06/01 00:00:00,open,"737424-6,7,8","78,79,80",,3,,,33.275844,132.541476
宇和島市石応,宇和島市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.213738,132.52406
西条市港,西条市,コン柱,2024/05/11 22:07:14,open,"737516-4,5","24,289",CBSB838000141,2,2,,33.934066,133.162397
西宇和郡伊方町豊之浦,伊方町,コン柱,2022/07/23 19:18:56,open,"737440-7,8","277,278",,2,,,33.473243,132.321936
伊予市下唐川,伊予市,コン柱,2022/06/01 00:00:00,open,"737408-1,2","334,333",,2,,,33.72241599,132.7375341
西予市宇和町大江,西予市,コン柱,2023/03/24 22:06:39,open,"737526-1,2,3","352,351,353",,3,,,33.408649,132.511602
四国中央市村松町,四国中央市,コン柱,2022/06/01 00:00:00,open,"737305-4,5,6","306,41,196",,3,,,33.993786,133.559159
松山市鴨川二丁目,松山市,コン柱,2022/07/24 19:05:22,open,"737287-7,8,9","49,50,48",,3,,,33.87433126,132.7503381
越智郡上島町生名②,上島町,コン柱,2024/05/03 21:52:45,open,"737402-4,5,6","247,156,161",,3,,,34.273271,133.172567
松山市窪野町②,松山市,コン柱,2024/04/28 00:50:45,open,737291-4,144,CBSB838001005,1,,,33.739336,132.838403
大洲市長浜,大洲市,屋上,2023/03/17 22:24:58,open,"737501-7,8,9","295,114,65",,3,,,33.61361,132.481163
松山市南江戸五丁目,松山市,屋上,2022/06/01 00:00:00,open,"737299-10,11,12","45,46,47",,3,,,33.84129607,132.7462756
新居浜市郷五丁目,新居浜市,コン柱,2023/06/10 16:38:56,open,"737540-1,2,3","280,158,15",,3,,,33.955966,133.302374
西条市福武甲②,西条市,コン柱,2024/05/04 22:14:51,open,"737514-1,2,3","352,284,348",CBSB838000484,3,3,,33.907645,133.194651
今治市別宮町八丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737378-7,8,9","204,293,31",,3,,,34.0732902,132.9904577
松山市西垣生町①,松山市,コン柱,2023/05/10 10:16:45,open,"737562-9,10,11","74,300,368",,3,1,2,33.81009,132.704065
宇和島市伊吹町,宇和島市,コン柱,2022/06/01 00:00:00,open,"737294-1,2,3","110,108,109",,3,1,2,33.234293,132.568957
松山市萩原②,松山市,コン柱,2024/06/02 19:31:42,open,737610-4,60,CBSB838000992,1,,,33.994178,132.816811
西予市野村町坂石,西予市,コン柱,2024/04/28 18:57:33,open,737602-5,303,CBSB838000962,1,,,33.413141,132.712948
四国中央市寒川町③,四国中央市,コン柱,2022/06/01 00:00:00,open,"737391-1,2,3","44,42,43",,3,,,33.9627472,133.5195571
伊予市双海町高岸甲,伊予市,コン柱,2023/04/21 12:47:51,open,"737576-5,6,7","224,322,34",CBSB838001293,3,,,33.674917,132.618981
今治市大三島町台,今治市,コン柱,2023/04/30 21:29:10,open,737468-7,287,CBSB838001063,1,,,34.23894618,133.0016896
西予市明浜町俵津,西予市,コン柱,2023/04/22 16:24:53,ready,,,CBSB838001045,3,,,33.325663,132.490928
南宇和郡愛南町小山,愛南町,コン柱,2024/04/28 20:22:43,ready,,,,1,,,32.958167,132.661528
西条市楠②,西条市,コン柱,2024/05/04 21:20:50,open,"737599-1,2,3","216,28,11",CBSB838001160,3,3,,33.96191909,133.0572562
大洲市阿蔵①,大洲市,コン柱,2023/04/16 11:51:30,open,"737579-1,2,3","86,85,84",CBSB838000546,3,,,33.508587,132.536129
宇和島市吉田町白浦②,宇和島市,コン柱,2024/04/28 11:53:08,open,"737587-2,3,4","20,21,22",CBSB838000989,3,,,33.299798,132.50285
松山市久万ノ台②,松山市,屋上,2022/07/29 21:55:37,open,"737300-4,5,6","286,287,285",,3,,,33.856887,132.743293
新居浜市船木④,新居浜市,コン柱,2023/04/16 11:17:25,open,"737491-7,8,9","225,124,206",,3,,,33.935251,133.363998
宇和島市大浦,宇和島市,コン柱,2022/06/01 00:00:00,open,"737353-1,2,3","0,1,2",,3,,,33.23690509,132.5516816
南宇和郡愛南町船越,愛南町,コン柱,2022/06/01 00:00:00,close,,,,,,,32.94840907,132.5045841
西予市明浜町狩浜,西予市,コン柱,2023/06/20 18:55:40,open,"737523-4,5,6","117,373,374",,3,,,33.318979,132.467736
大洲市恋木甲,大洲市,コン柱,2023/03/28 20:58:28,open,"737568-4,5,6","10,11,12",CBSB838001266,3,,,33.555937,132.605773
今治市矢田,今治市,コン柱,2024/05/05 22:58:24,open,"737363-7,8","189,64",,2,,,34.044291,132.957659
西条市樋之口①,西条市,コン柱,2023/04/16 18:49:35,open,"737521-7,8,9","343,342,338",,3,1,2,33.919174,133.161404
今治市郷六ヶ内町二丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737377-1,2,3","55,185,54",,3,,,34.043752,132.999086
伊予市双海町上灘③,伊予市,コン柱,2023/03/21 17:05:53,open,737567-10,90,,1,,,33.682233,132.645564
松山市下難波,松山市,コン柱,2024/04/28 13:04:44,open,"737508-10,11,12","333,17,238",,3,,,33.983859,132.776756
大洲市河辺町北平②,大洲市,コン柱,2024/04/28 19:24:22,open,742209-1,1,,1,,,33.519492,132.791758
宇和島市吉田町河内①,宇和島市,コン柱,2023/06/20 18:32:46,open,"737497-1,2,3","356,354,355",,3,,,33.287342,132.500202
西条市楠①,西条市,コン柱,2024/05/04 21:14:37,open,"737546-1,2,3","372,338,109",CBSB838000286,3,,,33.971831,133.050456
今治市土橋町一丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737335-7,8,9","254,252,253",,3,,,34.04967779,133.0049676
松山市星岡五丁目,松山市,屋上,2024/04/28 12:44:16,open,"737289-4,5,6","239,328,237",,3,,,33.809949,132.787457
宇和島市遊子③,宇和島市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.20647,132.45694
南宇和郡愛南町城辺甲②,愛南町,コン柱,2022/06/01 00:00:00,open,"737407-4,5,6","354,355,356",,3,,,32.960264,132.575333
四国中央市金生町下分②,四国中央市,コン柱,2024/05/25 22:03:12,open,"737467-10,11,12","43,90,194",CBSB838000474,3,1,,34.004412,133.58
宇和島市津島町高田③,宇和島市,コン柱,2024/04/28 00:20:33,open,"737572-1,2,3","20,21,22",CBSB838001600,3,,,33.121381,132.520211
上浮穴郡久万高原町河の子,久万高原町,衛星,2024/05/09 20:48:26,open,742224-1,1,,1,,,33.676679,133.086109
今治市菊間町種,今治市,コン柱,2024/05/05 23:11:47,open,"737496-1,2","221,274",,2,,,34.054393,132.872497
松山市鹿峰,松山市,コン柱,2024/04/28 19:49:24,open,"737608-1,2,3","36,289,155",,3,3,,33.942578,132.770301
松山市南高井町,松山市,コン柱,2022/06/01 00:00:00,open,"737284-10,11,12","182,181,180",,3,,,33.7897788,132.8238126
北宇和郡松野町大字豊岡,松野町,コン柱,2023/03/19 20:23:26,open,"737484-8,9,10","107,106,105",,3,1,2,33.233669,132.703035
宇和島市祝森①,宇和島市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.176958,132.552198
宇和島市津島町上畑地,宇和島市,コン柱,2024/04/28 00:24:19,open,"737498-7,8","233,232",,2,,,33.089064,132.513315
四国中央市中曽根町①,四国中央市,コン柱,2024/04/28 22:12:49,open,"737317-1,2","217,216",,2,1,2,33.974417,133.558065
八幡浜市国木①,八幡浜市,コン柱,2023/07/02 15:10:00,open,737576-8,10,CBSB838001349,1,,,33.451367,132.448745
大洲市平野町野田①,大洲市,コン柱,2022/07/20 12:41:00,open,"737447-6,7","46,47",,2,,,33.490228,132.516106
宇和島市百之浦,宇和島市,コン柱,2022/06/01 00:00:00,open,"737341-7,8","369,371",,2,,,33.22298741,132.5274456
今治市玉川町畑寺,今治市,コン柱,2024/05/19 15:16:17,ready,,,,,,,34.003801,132.947788
上浮穴郡久万高原町露峰①,久万高原町,コン柱,2023/03/19 20:17:16,open,"737530-10,11,12","6,7,8",,3,,,33.615187,132.900104
今治市大三島町肥海①,今治市,コン柱,2023/04/30 21:26:46,open,"737551-4,5,6","121,120,122",,3,,,34.275085,132.995968
松山市浅海原,松山市,コン柱,2024/04/28 13:10:33,open,"737507-4,5,6","73,198,161",,3,,,34.008795,132.800748
八幡浜市真網代②,八幡浜市,コン柱,2024/04/28 19:30:13,open,"737605-6,7,8","1,3,286",,3,,,33.406475,132.40157
松山市石手白石,松山市,コン柱,2023/05/10 12:45:40,open,"737564-1,2,3","39,353,292",,3,,,33.844784,132.804488
